team,gls_ronaldo,gls_bale,gls_benzema
Real Madrid,2,0,1
Real Madrid,0,0,0
Real Madrid,1,1,1
Real Madrid,1,0,1
Real Madrid,1,0,1
Real Madrid,1,0,0
Real Madrid,1,0,0
Real Madrid,1,0,2
Real Madrid,1,0,0
Real Madrid,1,2,0
Real Madrid,1,0,0
Real Madrid,1,0,1
Real Madrid,1,0,0
Real Madrid,3,2,0
Real Madrid,1,0,0
Real Madrid,3,0,2
Real Madrid,1,1,1
Real Madrid,2,0,1
Real Madrid,0,1,1
Real Madrid,3,0,0
Real Madrid,2,1,0
Real Madrid,1,0,0
Real Madrid,0,1,0
Real Madrid,2,1,0
Real Madrid,0,1,1
Real Madrid,0,0,0
Real Madrid,0,0,1
Real Madrid,1,0,1
Real Madrid,1,0,0
Real Madrid,0,0,0
Real Madrid,0,2,0
Real Madrid,1,0,0
Real Madrid,5,1,2
Real Madrid,1,0,0
Real Madrid,3,0,0
Real Madrid,0,2,1
Real Madrid,5,0,1
Real Madrid,0,0,1
Real Madrid,0,0,0
Real Madrid,1,1,0
Real Madrid,1,1,2
Real Madrid,0,0,0
Real Madrid,2,4,3
Real Madrid,2,0,0
Real Madrid,0,1,1
Real Madrid,0,3,2
Real Madrid,2,1,2
Real Madrid,1,1,1
Real Madrid,1,0,1
Real Madrid,1,1,1
Real Madrid,2,0,0
Real Madrid,1,0,0
Real Madrid,0,0,0
Real Madrid,0,0,1
Real Madrid,0,1,0
Real Madrid,1,0,1
Real Madrid,0,0,1
Real Madrid,3,0,0
Real Madrid,3,0,0
Real Madrid,1,0,0
Real Madrid,1,1,0
Real Madrid,2,0,0
Real Madrid,0,0,1
Real Madrid,0,0,1
Real Madrid,0,0,0
Real Madrid,0,0,0
Real Madrid,0,0,0
